# galaxy_id mid_distance low_distance high_distance
DDO_193 43046645.33080986 32112026.585548297 32112026.585548297
DDO_008 1077579.1069671614 316435.96132287686 316435.96132287686
IC_4182 4685865.158372688 2512372.516241498 2512372.516241498
DDO_74 278234.39208808116 165807.8322235294 165807.8322235294
NGC_0055 2140390.874292806 835497.4180818677 835497.4180818677
NGC_0300 2097798.640912002 1839102.3166275187 1839102.3166275187
NGC_0925 10694151.668021053 3895286.9874553247 3895286.9874553247
NGC_1326A 18844969.445723828 13748390.671679975 13748390.671679975
NGC_1365 20170541.624058053 14146403.174087293 14146403.174087293
NGC_1448 21965254.084680848 16596451.165201107 16596451.165201107
NGC_1637 12518838.54612424 7381716.622953497 7381716.622953497
NGC_2090 12110071.159364197 8930112.910820294 8930112.910820294
NGC_2442 28252069.642935727 18712374.67572709 18712374.67572709
NGC_2541 12460435.143023606 8834246.336679015 8834246.336679015
NGC_2841 15003158.894119095 8427785.712627806 8427785.712627806
NGC_3021 29504711.3250932 23819924.284114692 23819924.284114692
NGC_3031 4160993.945328182 1365074.2526986883 1365074.2526986883
NGC_3198 14939035.421215072 5793410.42435192 5793410.42435192
NGC_3368 11410604.929020917 9305161.857188864 9305161.857188864
NGC_3370 30147237.03933689 11976505.095400535 11976505.095400535
NGC_3447 28300277.913434837 15852239.209962443 15852239.209962443
NGC_3621 9256907.983748235 5632654.860710524 5632654.860710524
NGC_3627 11699561.147727624 3618225.7872956675 3618225.7872956675
NGC_3982 22520704.450152993 14155431.158135662 14155431.158135662
NGC_4038 22640964.744096383 12841765.049269874 12841765.049269874
NGC_4258 8383305.11888491 2240442.274487862 2240442.274487862
NGC_4321 18657922.64681748 9049146.815800006 9049146.815800006
NGC_4414 19097677.38943179 14733256.644273857 14733256.644273857
NGC_4527 14092259.410099946 6198640.163675343 6198640.163675343
NGC_4535 19513545.96058853 12885140.90610436 12885140.90610436
NGC_4536 16878853.259431932 11736036.774178782 11736036.774178782
NGC_4548 17128741.584721107 13300640.719839036 13300640.719839036
NGC_4603 41323334.26880091 19474335.66930447 19474335.66930447
NGC_4725 14388836.575751644 11922299.810862396 11922299.810862396
NGC_5584 27678806.97048518 19937232.895061824 19937232.895061824
NGC_5917 33056344.505179442 24781019.48840806 24781019.48840806
NGC_7250 24783219.284333777 18795976.58274069 18795976.58274069
NGC_7331 17561361.420914512 15287865.391907692 15287865.391907692
Phoenix_dwarf 503573.126461056 350023.79139241297 350023.79139241297
DDO_221 258133.7553041432 132026.18778355003 132026.18778355003
NGC_5128 4754187.9232912585 3105237.866934922 3105237.866934922
NGC_4496A 15875320.927297179 4411622.97832743 4411622.97832743
NGC_247 3949384.9839323177 3125742.713227353 3125742.713227353
NGC_5253 3723707.8871694794 2873811.2677852297 2873811.2677852297
NGC_7793 3648749.6064335452 3420418.6922386894 3420418.6922386894
NGC_5236 5043353.901563542 3804515.3351935735 3804515.3351935735
