# galaxy_id mid_distance low_distance high_distance
DDO_193 48977987.334463425 36374855.356075235 36374855.356075235
DDO_008 648722.7754816746 138595.596702816 138595.596702816
IC_4182 4741590.109097573 3587308.5783626647 3587308.5783626647
DDO_74 297557.0682553646 196729.09142534484 196729.09142534484
NGC_0055 2286051.557054131 635982.3696963129 635982.3696963129
NGC_0300 2177753.2416959237 1725144.9427896996 1725144.9427896996
NGC_0925 11733199.232204799 5358038.343344032 5358038.343344032
NGC_1326A 19980535.925680105 14464342.240245193 14464342.240245193
NGC_1365 21846754.254108466 16654242.766981816 16654242.766981816
NGC_1448 25065460.958313305 17172411.95543518 17172411.95543518
NGC_1637 13466904.534665268 8056556.624798175 8056556.624798175
NGC_2090 13067499.33181193 9447664.711580936 9447664.711580936
NGC_2442 40310471.1994969 22875094.235895578 22875094.235895578
NGC_2541 13549633.406387514 11359268.576665392 11359268.576665392
NGC_2841 16949453.35679877 8966072.33204689 8966072.33204689
NGC_3021 29320226.826585617 22021737.493977215 22021737.493977215
NGC_3031 4576089.630798975 1560341.5093539339 1560341.5093539339
NGC_3198 15895849.45827441 7390111.563879738 7390111.563879738
NGC_3368 12759730.286950195 9953941.603349557 9953941.603349557
NGC_3370 32420681.752138443 13027197.729970599 13027197.729970599
NGC_3447 31194732.077192128 18488282.246243734 18488282.246243734
NGC_3621 10720380.745856926 5882376.688976482 5882376.688976482
NGC_3627 13544410.650314175 4732330.482409499 4732330.482409499
NGC_3982 23987437.215710934 13917143.73166031 13917143.73166031
NGC_4038 26051361.543466303 14317270.408059685 14317270.408059685
NGC_4258 9338387.037770294 1863074.3442361788 1863074.3442361788
NGC_4321 19951584.483118925 10761469.660609908 10761469.660609908
NGC_4414 20480251.130112495 14027962.533631671 14027962.533631671
NGC_4527 16250756.494839443 6945645.463541353 6945645.463541353
NGC_4535 20651254.4521769 14635472.291684614 14635472.291684614
NGC_4536 19236033.567717817 13290361.237321954 13290361.237321954
NGC_4548 19044138.404051278 14560393.780740043 14560393.780740043
NGC_4603 44440475.576889075 29248682.49566395 29248682.49566395
NGC_4725 16131439.831357995 12838403.048860546 12838403.048860546
NGC_5584 31897198.91644916 20363301.22925035 20363301.22925035
NGC_5917 38651352.16305636 30388590.915914256 30388590.915914256
NGC_7250 33578203.300278075 23189773.690232247 23189773.690232247
NGC_7331 19689966.600038446 14452672.597295595 14452672.597295595
Phoenix_dwarf 538332.5456263233 340334.97860892006 340334.97860892006
DDO_221 305311.8430757446 168992.72363850242 168992.72363850242
NGC_5128 6082745.855387258 3514565.047446955 3514565.047446955
NGC_4496A 16740722.248203062 4951245.261475429 4951245.261475429
NGC_247 4026059.278921901 3454053.611008906 3454053.611008906
NGC_5253 4125791.6043016496 3249951.0722209024 3249951.0722209024
NGC_7793 3727964.261581838 3345516.3167293738 3345516.3167293738
NGC_5236 5614830.624928103 4263590.773512934 4263590.773512934
