No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,1730,3,0.005771,1.00E-05,1998ApJS..119..277G,NGC 4496A,,,,,,,,,,,,,,,,,
1,,1730,3,0.005771,1.00E-05,1998ApJS..119..277G,NGC 4496A,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,,1747,3,0.005827,1.00E-05,2011MNRAS.413.1875N,NGC 4496A,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,21-cm HI line,1730,5,0.005771,1.70E-05,1991RC3.9.C...0000d,VCC 1375,122906.2,41256,B1950,rms uncertainty,Radio,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
4,21-cm,1730,5,0.005772,1.70E-05,2006HIPAS.C...0000:,HIPASS J1231+03,123137.1,35745,J2000,estimated error,Radio,"Heterodyne receiver(e.g., 21-cm)",1 Emission lines,Mid-point of line profile at 50% lvel,Redshift is systemic,,Heliocentric velocity or redshift,,,,,"From new, raw data",
5,,1755,7,0.005852,2.40E-05,2016SDSSD.C...0000:,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
6,,1730,31,0.005771,1.03E-04,1985AJ.....90.1681B,VCC 1375,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
7,Optical lines,1900,42,0.006338,1.40E-04,1991RC3.9.C...0000d,VCC 1375,122906.2,41256,B1950,rms uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,Homogenized from new and previously published data,
8,Optical,1883,64,0.006281,2.13E-04,1992CORV..C...0000F,NGC 4496A,122906.6,41254,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1967AJ.....72..730d
9,,1731,77,0.005774,2.57E-04,2018ApJ...861...49H,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
10,Optical,1629,100,0.005434,3.34E-04,1992CORV..C...0000F,NGC 4496A,122906.6,41254,B1950,uncertainty,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1976AJ.....81..595d
11,,1730,,0.00577,,2012A&A...544A..81H,SDSS J123139.23+035622.1,123139.2304,35622.092,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
12,,1730,,0.005771,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
13,,1730,,0.005771,,2017ApJ...843...16K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
14,,1730,,0.005771,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
15,,1730,,0.005771,,2018A&A...609A..37C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
16,,1730,,0.005771,,2019ApJ...872..134Z,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
17,,1730,,0.005771,,2022ApJS..259...43C,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
18,,1730,,0.005771,,2022ApJS..262...31L,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
19,,1730,,0.005771,,2013AJ....146...86T,NGC 4496A,123139.1,35622.2,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
20,,1730,,0.005771,,2015ApJS..217...27A,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
21,,1731,,0.005774,,2008ApJ...676..184T,PGC 041471,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
22,,1732,,0.005777,,2013A&A...550A.114B,[BEC2010] HRS 187,123139.2,35622.1,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
23,,1732,,0.005777,,2014A&A...564A..65B,[BEC2010] HRS 187,123139.21,35622.1,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
24,,1736,,0.005791,,2011A&A...533A.122P,NGC 4496A,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
25,,1746,,0.005825,,2014ApJS..215...22K,VCC 1375,123139.288,35623.64,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
26,Optical,1943,,0.006481,,1992CORV..C...0000F,NGC 4496A,122906.6,41254,B1950,no unc. reported,Optical,,,,,,Heliocentric velocity or redshift,,,,,From reprocessed raw data,From 1982ApJS...50..319T
27,,4527,,0.0151,,2013PASP..125....2K,SDSS J123139.23+035622.1,123139.23,35622.1,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
,,,,0.006164143,1.03E-04,,,,,,,,,,,,,,,,,,,
