No.,Frequency Targeted,Published Velocity,Published Velocity Uncertainty,Published Redshift,Published Redshift Uncertainty,Refcode,Name in publication,Published RA,Published Dec,Published Equinox,Unc. Significance,Spectral Range,Spectrograph,Measurement Mode Features,Measurement Mode Technique,Spatial Mode,Epoch,Reference Frame,Apex,Longitude of the Apex,Latitude of the Apex,Apex Coordinate System,Qualifiers,Comments
0,,-20,1,-0.000071,3.00E-06,2017MNRAS.466.2006K,Phoenix Dwarf,,,,,,,,,,,,,,,,,
1,,-20,1,-0.000071,3.00E-06,2017MNRAS.466.2006K,,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
2,,56,29,0.000187,9.70E-05,1997AJ....114.1313C,Phoenix Dwarf,,,,uncertainty,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
3,,-51,,-0.000173,,2015MNRAS.450.4207B,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
4,,-51,,-0.000173,,2016AJ....152...50T,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
5,,-51,,-0.000173,,2017ApJ...843...16K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
6,,-51,,-0.000173,,2013AJ....145..101K,Phoenix Dwarf,15106.3,-442641,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
7,,-51,,-0.000173,,2013AJ....146...86T,Phoenix Dwarf,15106.3,-442641.1,J2000,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
8,,-12,,-0.000043,,2018A&A...609A..11K,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
9,,-12,,-0.000043,,2009ApJ...696..385G,ESO 245- G 007,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
10,,56,,0.000187,,2016MNRAS.460.4492D,,,,,no unc. reported,,,,,,,Heliocentric velocity or redshift,,,,,Uncertain origin,
,,,,-6.53636E-05,3.43E-05,,,,,,,,,,,,,,,,,,,
